timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,latitude,longitude,altitude
2025-02-11T17:22:35.895136,0.22670098,5.64463,8.1261454,-0.014322358,-0.0077107581,0.0029477412,43.690034,-79.301492,145.32406
2025-02-11T17:22:37.084779,0.36511576,5.6071458,7.8591166,0.0020817381,-0.0012823506,-0.0092429174,43.690036,-79.301493,145.24241
2025-02-11T17:22:38.151710,-1.0127473,2.9735985,6.5072904,2.730541,-0.91323352,2.3780277,43.690035,-79.301497,145.15313
2025-02-11T17:22:39.184475,-7.3989062,4.1984572,7.1371899,-0.4660762,0.07902278,-1.615512,43.690036,-79.301496,146.52606
2025-02-11T17:22:40.315681,-2.7660511,3.6671689,9.7386398,0.22684284,-0.30075288,-0.22224636,43.690038,-79.301498,146.70234
2025-02-11T17:22:41.429274,-11.954997,3.7343562,7.58109,-0.39080054,0.12268931,1.5062292,43.690039,-79.301502,146.71298
2025-02-11T17:22:42.824207,-0.45841479,7.444097,2.4634838,0.33267841,-0.52458137,1.0978754,43.690042,-79.301505,145.85132
2025-02-11T17:22:43.891067,-1.0226234,3.2902317,10.707319,2.1695707,-1.4206281,-0.36265543,43.690042,-79.301503,145.11882
2025-02-11T17:22:45.018276,1.2378023,2.5892544,9.0690861,1.2531564,0.28503159,-0.62738591,43.690042,-79.301501,144.25822
2025-02-11T17:22:46.149014,-0.046013564,3.4056022,10.490793,-0.18595751,0.35629365,0.18632388,43.690041,-79.301497,143.5807
2025-02-11T17:22:47.186769,0.72738838,3.3503859,9.1746559,-0.014205781,-0.0024980856,0.0028644716,43.690042,-79.301494,143.10925
2025-02-11T17:22:48.298755,-0.75694185,5.781548,5.7465329,0.50033325,-0.29925403,-1.9374154,43.690044,-79.301494,142.96244
2025-02-11T17:22:49.456343,-1.8117373,7.8988457,6.106112,-0.3640044,0.20810719,-0.057722434,43.690046,-79.301495,142.3159
2025-02-11T17:22:50.601772,-1.7625813,5.1351886,6.2941318,-0.22209647,3.1265707,-1.040436,43.690049,-79.301497,141.82265
2025-02-11T17:22:51.684345,2.7744308,3.9490113,8.5934629,0.3825402,-0.5059123,1.2281588,43.690061,-79.301502,141.81997
2025-02-11T17:22:52.800130,1.2552351,1.9547161,13.268666,-2.3589923,1.0394368,0.29442438,43.690064,-79.301505,141.42777
2025-02-11T17:22:53.940565,0.36197338,7.1512561,6.0500727,0.78596437,-0.30018663,-0.18997109,43.690063,-79.301505,141.34006
2025-02-11T17:22:55.102866,0.43724108,7.0261588,6.8826566,-0.036688551,-0.012773545,-0.00096592651,43.690061,-79.301505,141.15507
2025-02-11T17:22:56.184618,0.39953241,6.8567691,7.1852236,0.032441806,-0.052726261,-0.12000804,43.690059,-79.301505,140.89522
2025-02-11T17:22:57.216316,0.20462942,7.0562363,6.6482491,-0.0024814319,-0.06838093,0.017786371,43.69006,-79.301502,140.77485
2025-02-11T17:22:58.249492,1.1271453,6.7349644,6.4185553,-0.021167113,-0.08243683,-0.062368874,43.690059,-79.301498,141.33426
2025-02-11T17:22:59.286566,0.49597386,6.8192849,6.9500685,-0.019151991,-0.067981243,0.028711332,43.69006,-79.301494,141.24449
2025-02-11T17:23:00.314689,0.65960258,6.7435684,7.291317,0.039219946,0.040818721,-0.049245596,43.690064,-79.301492,140.99874
2025-02-11T17:23:01.341795,0.66947865,6.7462621,6.8827314,-0.016753828,-0.022949081,0.016637251,43.690068,-79.301488,141.12605
2025-02-11T17:23:02.368576,0.76285249,6.7106481,7.0909519,0.017753063,-0.005595712,0.008943147,43.690072,-79.301484,141.09782
2025-02-11T17:23:03.392027,-13.29822,4.9494882,5.9160724,1.2658134,-0.71112174,1.6259707,43.690074,-79.30148,141.21621
2025-02-11T17:23:04.516940,1.1543045,6.1953712,8.6097736,-1.1389439,0.7321223,-0.010092266,43.690075,-79.301475,141.22245
2025-02-11T17:23:05.547990,-0.069506668,7.3062806,6.6623154,0.011141462,0.044782352,0.0017986217,43.690074,-79.301472,141.51641
2025-02-11T17:23:06.572446,-2.9336452,6.972888,5.5481133,0.35579401,-1.4617798,1.2589519,43.690074,-79.301472,141.56711
2025-02-11T17:23:07.605637,-1.2922704,7.1362176,8.540267,-0.62328905,-0.064850308,0.26051703,43.690076,-79.301469,141.44529
2025-02-11T17:23:08.637299,-0.81365448,7.0658879,6.9963064,0.055890504,0.008393568,-0.083369449,43.690077,-79.301465,141.15167
2025-02-11T17:23:09.703490,-0.40342298,5.0495958,5.9525838,0.25179037,1.2726414,-1.8362095,43.690081,-79.301451,141.25167
2025-02-11T17:23:10.795596,4.4387002,3.5481322,1.6246903,0.6420247,-0.53344125,-2.1898718,43.69008,-79.301449,141.49458
2025-02-11T17:23:11.853455,0.21472996,5.4361095,4.9758244,-2.7926433,1.274873,-1.557673,43.690082,-79.301446,142.15136
2025-02-11T17:23:12.882493,2.6054151,7.4779148,2.8451347,-1.2878798,1.12657,0.065250002,43.690083,-79.301445,142.36868
2025-02-11T17:23:13.913061,2.0243723,8.5593462,1.0321254,0.60272145,0.079922087,-1.0447993,43.690085,-79.301456,141.31158
2025-02-11T17:23:15.032966,3.9373395,5.5553708,1.9705029,0.57817364,0.88728672,-3.0478811,43.690093,-79.301464,140.9527
2025-02-11T17:23:16.165909,-8.4873705,8.0537205,2.7876737,3.2339885,-1.4418617,-0.45373565,43.690096,-79.301469,139.86853
2025-02-11T17:23:17.343328,-9.2951889,5.5954738,-0.14657004,0.1424242,-1.8883862,2.1373622,43.690095,-79.301476,139.90094
2025-02-11T17:23:18.417183,-10.539126,6.2459483,2.1884501,1.5592219,2.8945818,-1.3873535,43.690093,-79.301481,140.35748
2025-02-11T17:23:19.671582,-7.7360396,7.2200146,1.5543606,-0.68176091,-2.0589056,1.1322824,43.690094,-79.301495,140.70061
2025-02-11T17:23:20.750701,-10.17401,5.6052003,-0.54079032,-0.35914147,2.669188,-4.150486,43.690091,-79.3015,141.18728
2025-02-11T17:23:21.880837,-4.5971665,2.4856303,12.474614,-0.76846111,-1.1613435,-0.023315467,43.69009,-79.301501,141.52088
2025-02-11T17:23:23.063316,0.50719666,2.4889224,9.2543373,0.019668262,-0.030443339,0.016204249,43.690087,-79.301502,141.10216
2025-02-11T17:23:24.141361,0.42714053,2.6173861,9.4108591,-0.0045798239,0.0049795173,0.0010158882,43.690083,-79.301501,140.40295
2025-02-11T17:23:25.267075,0.40574238,2.6413281,9.4069681,0.0024980856,-0.00089931086,0.00038303982,43.690083,-79.301501,140.40295
2025-02-11T17:23:26.398180,0.40222588,2.6640732,9.4057713,0.012540391,0.0016320826,-0.0021483537,43.690085,-79.301497,140.68354
2025-02-11T17:23:27.516781,-4.8721256,0.93164372,9.3144922,-0.47813362,0.1910536,1.1269364,43.690084,-79.301495,140.53348
2025-02-11T17:23:28.649754,4.834866,2.9964182,11.003901,-0.52744579,0.66810471,0.16533996,43.690079,-79.301489,140.02862
2025-02-11T17:23:29.781546,-8.7004538,6.2912889,6.2338281,-0.74671113,-1.9320362,-2.056241,43.690076,-79.301502,140.44629
2025-02-11T17:23:30.900516,9.5251818,1.4998177,5.2097082,0.22069755,-0.37159857,-1.2576363,43.690072,-79.301505,139.53314
2025-02-11T17:23:32.080629,4.1929207,5.1381063,3.2411506,-1.1896716,0.50624537,0.20845693,43.690072,-79.301506,139.43996
2025-02-11T17:23:33.102164,-0.17515081,2.6296566,9.4172935,0.010591883,0.00096592651,0.0042134379,43.690072,-79.301506,139.85196
2025-02-11T17:23:34.230229,-0.21465515,2.6189573,9.4275436,0.0018485835,0.0010991577,-0.0010825038,43.69007,-79.301511,139.93793
2025-02-11T17:23:35.348544,-0.22662616,2.6070611,9.4274683,-0.0033640887,-0.0010325421,-6.6615619e-05,43.69007,-79.301511,139.93793
2025-02-11T17:23:36.385069,-0.21323359,2.5796776,9.394249,-0.016837098,-0.0028977795,0.00031642418,43.690068,-79.301518,140.05275
2025-02-11T17:23:37.500939,-0.21353287,2.6475382,9.438242,0.00089931086,0.0010991577,0.00049961713,43.690067,-79.30152,139.46393
2025-02-11T17:23:38.537540,-0.23605332,2.6464908,9.4261961,0.0015155054,0.0012990045,4.9961716e-05,43.690065,-79.301521,138.56032
2025-02-11T17:23:39.570754,-0.23635259,2.6105776,9.4487915,-0.0090097627,-0.0020317764,-0.00086600304,43.690063,-79.301519,138.26652
2025-02-11T17:23:40.682638,-0.22064064,2.6237457,9.4273939,0.0071278713,0.0037138208,-4.9961716e-05,43.690064,-79.301517,138.13903
2025-02-11T17:23:41.704455,-0.22916999,2.6010008,9.4477444,-0.0027478943,0.00076607964,0.00013323124,43.690066,-79.301514,138.08495
2025-02-11T17:23:42.786913,-0.22049101,2.596437,9.4083147,-0.0011491195,-0.0024314702,-0.00014988515,43.690068,-79.301513,137.9374
2025-02-11T17:23:43.915408,-0.2243816,2.5903018,9.4380932,-0.0011324655,-0.0002997703,-0.0010825038,43.690069,-79.301513,137.66651
2025-02-11T17:23:45.033036,-0.22707507,2.5902269,9.4713869,-0.00019984687,-0.0036305513,-0.00068281009,43.690076,-79.30152,137.52387
2025-02-11T17:23:46.212458,-0.23156419,2.5664346,9.442956,0.022199655,0.0061119832,0.00068281009,43.690078,-79.301522,137.13055
2025-02-11T17:23:47.252418,2.6878655,1.4143747,10.419117,2.9831808,-0.57512593,-2.1811619,43.69008,-79.301519,137.24271
2025-02-11T17:23:48.324409,3.6779428,5.0329862,6.6831894,-1.2614833,0.30363399,0.67829686,43.690077,-79.301509,137.57932
2025-02-11T17:23:49.353938,-0.23964463,0.41412207,8.968605,-0.41320002,0.15078445,0.12377182,43.690071,-79.301499,136.40104
2025-02-11T17:23:50.498532,-1.092579,2.1494694,9.4960775,-0.0016820444,-0.0014988515,0.00026646248,43.690065,-79.301499,136.98451
2025-02-11T17:23:51.632485,-1.1209353,2.1615901,9.4733324,-0.00019984687,-0.00083269522,-6.6615619e-05,43.690066,-79.301498,136.84168
2025-02-11T17:23:52.671859,-1.1055975,2.1376481,9.4805145,0.00023315467,0.0005995406,-0.00071611791,43.690063,-79.301488,137.31711
2025-02-11T17:23:53.797178,-1.1177181,2.1280713,9.5018387,-0.0014821975,-0.00033307809,-0.00066615618,43.69006,-79.30149,137.75921
2025-02-11T17:23:54.869690,-1.1188403,2.1459529,9.4958525,0.00078273355,0.00046630934,-0.00049961713,43.690064,-79.301493,137.84593
2025-02-11T17:23:55.982700,-1.6726491,0.33271921,16.134151,3.0250819,-0.08090467,-0.65241671,43.690065,-79.301497,137.71486
2025-02-11T17:23:57.131559,-2.9727755,4.4473791,9.6468372,1.6415254,1.9102695,-1.151834,43.690063,-79.301506,138.23942
2025-02-11T17:23:58.249218,-5.3262758,7.6205945,-0.82323128,-0.11934188,-1.2466447,-2.8310306,43.690065,-79.301517,138.91237
2025-02-11T17:23:59.285247,-2.0733786,9.1274452,-0.65391636,1.2553381,-0.24153158,-0.74721074,43.690067,-79.301527,139.01102
2025-02-11T17:24:00.447447,2.6481366,5.1679592,1.1530325,-1.6410092,0.76839453,2.2684116,43.690068,-79.301534,138.77174
2025-02-11T17:24:01.513828,6.5867481,-1.7178397,15.801806,-4.1419592,1.4217771,1.7132871,43.690065,-79.301537,138.31044
2025-02-11T17:24:02.540028,4.5002761,4.8882866,11.465383,-2.0936623,0.58498508,0.45689988,43.690065,-79.301537,138.15495
2025-02-11T17:24:03.681879,-1.0944494,7.2145529,6.0724435,-0.26384783,-0.048712671,-0.34010604,43.690062,-79.301539,138.31702
2025-02-11T17:24:04.705007,-2.9480104,7.3998041,3.5011458,0.22587691,-0.39336523,-0.69490081,43.690062,-79.301542,138.56021
2025-02-11T17:24:05.832556,0.52373165,4.36448,10.915839,-1.2838662,-0.14547186,1.2872969,43.690062,-79.301542,139.17643
2025-02-11T17:24:06.876318,-1.0830022,6.5131264,7.5150251,-0.62180686,-0.95836562,1.1094165,43.69006,-79.301543,139.63429
2025-02-11T17:24:07.984612,0.15532383,2.1452048,11.947291,2.9059565,2.5427182,-0.3590582,43.690059,-79.301542,140.30212
2025-02-11T17:24:09.005260,-2.2919991,2.6576388,4.786458,-2.4665766,3.0513284,-1.7346041,43.690058,-79.301542,140.53489
